sample,tipo
666,cleaned
1370,cleaned
2150,cleaned
2886,cleaned
3595,cleaned
4342,cleaned
5063,cleaned
5788,cleaned
6498,cleaned
7266,cleaned
7999,cleaned
8705,cleaned
9471,cleaned
10213,cleaned
10945,cleaned
11675,cleaned
12406,cleaned
13144,cleaned
13850,cleaned
14602,cleaned
15314,cleaned
16074,cleaned
16806,cleaned
17537,cleaned
18258,cleaned
19036,cleaned
19793,cleaned
20544,cleaned
21282,cleaned
22058,cleaned
22848,cleaned
23604,cleaned
24358,cleaned
25072,cleaned
25795,cleaned
26531,cleaned
27233,cleaned
27906,cleaned
28615,cleaned
29303,cleaned
29996,cleaned
30695,cleaned
31404,cleaned
32129,cleaned
32864,cleaned
33587,cleaned
34351,cleaned
35117,cleaned
35923,cleaned
36710,cleaned
37478,cleaned
38297,cleaned
39119,cleaned
39934,cleaned
40745,cleaned
41539,cleaned
42354,cleaned
43152,cleaned
43960,cleaned
44747,cleaned
45512,cleaned
46355,cleaned
47194,cleaned
48050,cleaned
48910,cleaned
49763,cleaned
50611,cleaned
51512,cleaned
52361,cleaned
53232,cleaned
54075,cleaned
54915,cleaned
55747,cleaned
56548,cleaned
57345,cleaned
58146,cleaned
58945,cleaned
59730,cleaned
60540,cleaned
61360,cleaned
62158,cleaned
63006,cleaned
63803,cleaned
64612,cleaned
65428,cleaned
66287,cleaned
67109,cleaned
67905,cleaned
68735,cleaned
69530,cleaned
70356,cleaned
71124,cleaned
71916,cleaned
72693,cleaned
73494,cleaned
74269,cleaned
75082,cleaned
75891,cleaned
76676,cleaned
77483,cleaned
78278,cleaned
79095,cleaned
79900,cleaned
80668,cleaned
81452,cleaned
82243,cleaned
83020,cleaned
83816,cleaned
84590,cleaned
85379,cleaned
86152,cleaned
86953,cleaned
87726,cleaned
88516,cleaned
89319,cleaned
90129,cleaned
90907,cleaned
91722,cleaned
92513,cleaned
93317,cleaned
94113,cleaned
94926,cleaned
95731,cleaned
96542,cleaned
97344,cleaned
98131,cleaned
98928,cleaned
99741,cleaned
100553,cleaned
101346,cleaned
102129,cleaned
102923,cleaned
103690,cleaned
104507,cleaned
105286,cleaned
106070,cleaned
106853,cleaned
107681,cleaned
108438,cleaned
109250,cleaned
110055,cleaned
110857,cleaned
111640,cleaned
112419,cleaned
113264,cleaned
114054,cleaned
114863,cleaned
115661,cleaned
116460,cleaned
117252,cleaned
118032,cleaned
118779,cleaned
119588,cleaned
120386,cleaned
121171,cleaned
121953,cleaned
122726,cleaned
123517,cleaned
124319,cleaned
125114,cleaned
125899,cleaned
126676,cleaned
127462,cleaned
128257,cleaned
129049,cleaned
129803,cleaned
130615,cleaned
131402,cleaned
132184,cleaned
132953,cleaned
133733,cleaned
134487,cleaned
135283,cleaned
136048,cleaned
136825,cleaned
137606,cleaned
138380,cleaned
139128,cleaned
139938,cleaned
140726,cleaned
141514,cleaned
142293,cleaned
143089,cleaned
143870,cleaned
144695,cleaned
145475,cleaned
146252,cleaned
147031,cleaned
147777,cleaned
148556,cleaned
149361,cleaned
150196,cleaned
150988,cleaned
151783,cleaned
152603,cleaned
153403,cleaned
154205,cleaned
155046,cleaned
155825,cleaned
156651,cleaned
157416,cleaned
158213,cleaned
158994,cleaned
159772,cleaned
160540,cleaned
161274,cleaned
162061,cleaned
162830,cleaned
163597,cleaned
164359,cleaned
165111,cleaned
165937,cleaned
166740,cleaned
167500,cleaned
168304,cleaned
169149,cleaned
169948,cleaned
170747,cleaned
171559,cleaned
172339,cleaned
173149,cleaned
173935,cleaned
174727,cleaned
175519,cleaned
176298,cleaned
177091,cleaned
177884,cleaned
178677,cleaned
179462,cleaned
180255,cleaned
181051,cleaned
181851,cleaned
182642,cleaned
183443,cleaned
184244,cleaned
185020,cleaned
185827,cleaned
186609,cleaned
187398,cleaned
188186,cleaned
188946,cleaned
189737,cleaned
190511,cleaned
191258,cleaned
192051,cleaned
192789,cleaned
193571,cleaned
194314,cleaned
195047,cleaned
195783,cleaned
196531,cleaned
197291,cleaned
198034,cleaned
198791,cleaned
199564,cleaned
200343,cleaned
201113,cleaned
201884,cleaned
202652,cleaned
203469,cleaned
204253,cleaned
205046,cleaned
205849,cleaned
206636,cleaned
207419,cleaned
208218,cleaned
209007,cleaned
209793,cleaned
210552,cleaned
211352,cleaned
212111,cleaned
212924,cleaned
213720,cleaned
214511,cleaned
215279,cleaned
216042,cleaned
216801,cleaned
217574,cleaned
218369,cleaned
219168,cleaned
219978,cleaned
220801,cleaned
221604,cleaned
222419,cleaned
223247,cleaned
224072,cleaned
224869,cleaned
225693,cleaned
226499,cleaned
227291,cleaned
228082,cleaned
228867,cleaned
229635,cleaned
230457,cleaned
231230,cleaned
232022,cleaned
232837,cleaned
233641,cleaned
234436,cleaned
235220,cleaned
236022,cleaned
236805,cleaned
237612,cleaned
238400,cleaned
239191,cleaned
239985,cleaned
240762,cleaned
241519,cleaned
242309,cleaned
243111,cleaned
243874,cleaned
244633,cleaned
245394,cleaned
246152,cleaned
246921,cleaned
247695,cleaned
248468,cleaned
249228,cleaned
250041,cleaned
250822,cleaned
251616,cleaned
252420,cleaned
253214,cleaned
254003,cleaned
254790,cleaned
255588,cleaned
256384,cleaned
257176,cleaned
257964,cleaned
258733,cleaned
259509,cleaned
260287,cleaned
261048,cleaned
261847,cleaned
262644,cleaned
263438,cleaned
264208,cleaned
264965,cleaned
265772,cleaned
266539,cleaned
267325,cleaned
268117,cleaned
268923,cleaned
269699,cleaned
270503,cleaned
271320,cleaned
272113,cleaned
272900,cleaned
273705,cleaned
274508,cleaned
275300,cleaned
276090,cleaned
276883,cleaned
277672,cleaned
278451,cleaned
279220,cleaned
279969,cleaned
280767,cleaned
281539,cleaned
282303,cleaned
283080,cleaned
283868,cleaned
284653,cleaned
285462,cleaned
286277,cleaned
287080,cleaned
287881,cleaned
288655,cleaned
289463,cleaned
290248,cleaned
291012,cleaned
291825,cleaned
292579,cleaned
293380,cleaned
294135,cleaned
294940,cleaned
295701,cleaned
296472,cleaned
297245,cleaned
298016,cleaned
298775,cleaned
299551,cleaned
300330,cleaned
301115,cleaned
301898,cleaned
302672,cleaned
303454,cleaned
304216,cleaned
305031,cleaned
305809,cleaned
306593,cleaned
307388,cleaned
308171,cleaned
308962,cleaned
309756,cleaned
310547,cleaned
311337,cleaned
312119,cleaned
312894,cleaned
313651,cleaned
314412,cleaned
315168,cleaned
315897,cleaned
316644,cleaned
317407,cleaned
318114,cleaned
318853,cleaned
319547,cleaned
320297,cleaned
321033,cleaned
321772,cleaned
322494,cleaned
323260,cleaned
324059,cleaned
324811,cleaned
325604,cleaned
326365,cleaned
327118,cleaned
327849,cleaned
328580,cleaned
329314,cleaned
330047,cleaned
330778,cleaned
331528,cleaned
332293,cleaned
333068,cleaned
333850,cleaned
334675,cleaned
335514,cleaned
336337,cleaned
337132,cleaned
337979,cleaned
338826,cleaned
339678,cleaned
340515,cleaned
341323,cleaned
342137,cleaned
342948,cleaned
343756,cleaned
344563,cleaned
345355,cleaned
346153,cleaned
346943,cleaned
347704,cleaned
348509,cleaned
349273,cleaned
350028,cleaned
350787,cleaned
351548,cleaned
352312,cleaned
353083,cleaned
353850,cleaned
354633,cleaned
355426,cleaned
356222,cleaned
357008,cleaned
357785,cleaned
358628,cleaned
359452,cleaned
360232,cleaned
361038,cleaned
361891,cleaned
362692,cleaned
363489,cleaned
364278,cleaned
365075,cleaned
365847,cleaned
366667,cleaned
367451,cleaned
368247,cleaned
369045,cleaned
369846,cleaned
370629,cleaned
371426,cleaned
372226,cleaned
373024,cleaned
373808,cleaned
374604,cleaned
375407,cleaned
376208,cleaned
376996,cleaned
377796,cleaned
378571,cleaned
379397,cleaned
380193,cleaned
380995,cleaned
381793,cleaned
382584,cleaned
383373,cleaned
384159,cleaned
384935,cleaned
385706,cleaned
386464,cleaned
387214,cleaned
387962,cleaned
388686,cleaned
389433,cleaned
390173,cleaned
390936,cleaned
391681,cleaned
392401,cleaned
393180,cleaned
393907,cleaned
394711,cleaned
395529,cleaned
396331,cleaned
397145,cleaned
397985,cleaned
398828,cleaned
399677,cleaned
400487,cleaned
401266,cleaned
402098,cleaned
402906,cleaned
403707,cleaned
404497,cleaned
405295,cleaned
406090,cleaned
406892,cleaned
407686,cleaned
408482,cleaned
409278,cleaned
410074,cleaned
410854,cleaned
411620,cleaned
412391,cleaned
413175,cleaned
413981,cleaned
414766,cleaned
415606,cleaned
416437,cleaned
417272,cleaned
418090,cleaned
418903,cleaned
419733,cleaned
420549,cleaned
421362,cleaned
422160,cleaned
423020,cleaned
423856,cleaned
424671,cleaned
425498,cleaned
426297,cleaned
427129,cleaned
427952,cleaned
428762,cleaned
429569,cleaned
430354,cleaned
431151,cleaned
431965,cleaned
432763,cleaned
433560,cleaned
434363,cleaned
435151,cleaned
435913,cleaned
436730,cleaned
437521,cleaned
438298,cleaned
439050,cleaned
439860,cleaned
440644,cleaned
441424,cleaned
442169,cleaned
442975,cleaned
443754,cleaned
444500,cleaned
445279,cleaned
446047,cleaned
446816,cleaned
447595,cleaned
448367,cleaned
449151,cleaned
449918,cleaned
450749,cleaned
451532,cleaned
452330,cleaned
453105,cleaned
453886,cleaned
454667,cleaned
455447,cleaned
456212,cleaned
456955,cleaned
457734,cleaned
458463,cleaned
459245,cleaned
460003,cleaned
460734,cleaned
461512,cleaned
462283,cleaned
463060,cleaned
463830,cleaned
464597,cleaned
465350,cleaned
466155,cleaned
466926,cleaned
467695,cleaned
468468,cleaned
469243,cleaned
470023,cleaned
470795,cleaned
471559,cleaned
472309,cleaned
473074,cleaned
473835,cleaned
474589,cleaned
475341,cleaned
476107,cleaned
476857,cleaned
477649,cleaned
478424,cleaned
479205,cleaned
479987,cleaned
480751,cleaned
481508,cleaned
482302,cleaned
483070,cleaned
483836,cleaned
484603,cleaned
485379,cleaned
486158,cleaned
486905,cleaned
487699,cleaned
488474,cleaned
489251,cleaned
490003,cleaned
490794,cleaned
491576,cleaned
492356,cleaned
493118,cleaned
493924,cleaned
494680,cleaned
495495,cleaned
496289,cleaned
497074,cleaned
497853,cleaned
498641,cleaned
499433,cleaned
500197,cleaned
500986,cleaned
501764,cleaned
502538,cleaned
503309,cleaned
504066,cleaned
504839,cleaned
505616,cleaned
506393,cleaned
507159,cleaned
507943,cleaned
508725,cleaned
509479,cleaned
510274,cleaned
511053,cleaned
511833,cleaned
512578,cleaned
513330,cleaned
514117,cleaned
514881,cleaned
515614,cleaned
516389,cleaned
517151,cleaned
517919,cleaned
518680,cleaned
519446,cleaned
520216,cleaned
520990,cleaned
521761,cleaned
522521,cleaned
523283,cleaned
524019,cleaned
524786,cleaned
525495,cleaned
526213,cleaned
526961,cleaned
527689,cleaned
528425,cleaned
529145,cleaned
529911,cleaned
530648,cleaned
531400,cleaned
532160,cleaned
532928,cleaned
533688,cleaned
534446,cleaned
535218,cleaned
536000,cleaned
536772,cleaned
537538,cleaned
538323,cleaned
539092,cleaned
539927,cleaned
540685,cleaned
541505,cleaned
542308,cleaned
543106,cleaned
543899,cleaned
544676,cleaned
545443,cleaned
546257,cleaned
547048,cleaned
547816,cleaned
548566,cleaned
549371,cleaned
550146,cleaned
550912,cleaned
551674,cleaned
552452,cleaned
553228,cleaned
554000,cleaned
554765,cleaned
555543,cleaned
556320,cleaned
557069,cleaned
557856,cleaned
558629,cleaned
559387,cleaned
560192,cleaned
560958,cleaned
561734,cleaned
562512,cleaned
563283,cleaned
564045,cleaned
564797,cleaned
565602,cleaned
566367,cleaned
567127,cleaned
567898,cleaned
568653,cleaned
569460,cleaned
570228,cleaned
571004,cleaned
571780,cleaned
572540,cleaned
573331,cleaned
574108,cleaned
574899,cleaned
575678,cleaned
576481,cleaned
577269,cleaned
578070,cleaned
578866,cleaned
579662,cleaned
580450,cleaned
581254,cleaned
582077,cleaned
582895,cleaned
583715,cleaned
584485,cleaned
585314,cleaned
586124,cleaned
586933,cleaned
587700,cleaned
588508,cleaned
589310,cleaned
