Dataset,Block,n,n_PD,predictors,n_params,CV_AUC,CV_AUC_SD,Nagelkerke_R2,Delta_R2,LogLik,LR_chi2,LR_p
Chile,Block1_Confounders,61,21,"Age, Sex",2,0.655,0.0939913559855373,0.14236316250655937,0.14236316250655937,-35.955024779363754,6.6362631569175505,0.03622044362774316
Chile,Block2_Conf+pNN50,61,21,"Age, Sex, pNN50",3,0.725,0.12086924753633574,0.15757990595269875,0.01521674344613938,-35.57802869146272,0.7539921758020682,0.38521522026849697
Chile,Block3_Conf+pNN50+Complexity,61,21,"Age, Sex, pNN50, Complexity",4,0.6675,0.1554931670524464,0.2187736072254794,0.06119370127278065,-34.01307000259336,3.129917377738721,0.07686763601597855
Spain,Block1_Confounders,52,31,Age,1,0.6302380952380953,0.1868988473434815,0.061215657144272295,0.061215657144272295,-33.86992976295897,2.412338144087471,0.12038244218038457
Spain,Block2_Conf+pNN50,52,31,"Age, pNN50",2,0.5873809523809523,0.22282025539243944,0.12450626893445346,0.06329061179018117,-32.56110091949203,2.6176576869338817,0.10568033502669558
Spain,Block3_Conf+pNN50+Complexity,52,31,"Age, pNN50, Complexity",3,0.6126190476190476,0.2394149141841144,0.15747589361903824,0.03296962468458478,-31.852272575447827,1.4176566880883996,0.23378948607033678
Japan,Block1_Confounders,37,21,"Age, Sex",2,0.34541666666666665,0.12173799279144078,0.006678486219642087,0.006678486219642087,-25.215249045008747,0.1846459495981989,0.9118106101346223
Japan,Block2_Conf+pNN50,37,21,"Age, Sex, pNN50",3,0.5883333333333333,0.12400716825158849,0.1343300684216325,0.1276515822019904,-23.355797184643915,3.7189037207296636,0.05379968303857945
Japan,Block3_Conf+pNN50+Complexity,37,21,"Age, Sex, pNN50, Complexity",4,0.9208333333333334,0.09166666666666667,0.5846505398056446,0.4503204713840121,-14.71962446036819,17.27234544855145,3.238662119304118e-05
Pooled,Block1_Confounders,151,73,"Age, Center_Spain, Center_Japan",3,0.5991726190476191,0.06577863457606781,0.08198501426660314,0.08198501426660314,-99.7929730830405,9.578909180784137,0.02250654822009832
Pooled,Block2_Conf+pNN50,151,73,"Age, Center_Spain, Center_Japan, pNN50",4,0.6065793650793652,0.059622650211487334,0.09847875690560108,0.016493742638997944,-98.79160081846624,2.002744529148515,0.15701468128296425
Pooled,Block3_Conf+pNN50+Complexity,151,73,"Age, Center_Spain, Center_Japan, pNN50, Complexity",5,0.695361111111111,0.07451100393723697,0.20847119246983065,0.10999243556422957,-91.7509154903162,14.081370656300066,0.000175069182734788
