Dataset,Metric,n_GroupCtrl,rho_Complexity_Group_ctrlM,p_Complexity_Group_ctrlM,CI95_lo_ctrlM,CI95_hi_ctrlM,n_AgeSexCtrl,rho_Complexity_M_ctrlAgeSex,p_Complexity_M_ctrlAgeSex,CI95_lo_ctrlAgeSex,CI95_hi_ctrlAgeSex,q_BH_ctrlM,q_BH_ctrlAgeSex
Chile,SDNN,71,-0.30235389800752716,0.010960035592053913,-0.5,-0.07,0,,,,,0.014703743931773379,
Chile,RMSSD,71,-0.3182420787854306,0.0072562055219838415,-0.51,-0.09,0,,,,,0.011249141116718379,
Chile,pNN50,71,-0.34288221691271,0.0036637787837374737,-0.53,-0.12,0,,,,,0.0070911847427176915,
Chile,SDANN,0,,,,,0,,,,,,
Chile,SD1,71,-0.3182420787854306,0.0072562055219838415,-0.51,-0.09,0,,,,,0.011249141116718379,
Chile,SD2,71,-0.3021099636286801,0.011027807948830034,-0.5,-0.07,0,,,,,0.014703743931773379,
Chile,SD1SD2,71,-0.3112628513486721,0.008720450206695225,-0.51,-0.08,0,,,,,0.012457786009564606,
Chile,VLF_power,71,-0.3226921866984741,0.006439451617339634,-0.52,-0.09,0,,,,,0.011249141116718379,
Chile,LF_power,71,-0.31759443462983633,0.0073823474574496485,-0.51,-0.09,0,,,,,0.011249141116718379,
Chile,HF_power,71,-0.31712473074657316,0.007475031048552014,-0.51,-0.09,0,,,,,0.011249141116718379,
Chile,Total_power,71,-0.31789270694761856,0.007324015909629182,-0.51,-0.09,0,,,,,0.011249141116718379,
Chile,LF_HF,71,-0.3199888060230429,0.00692537473613162,-0.52,-0.09,0,,,,,0.011249141116718379,
Chile,LF_norm,71,-0.3056935800577773,0.010067919230692807,-0.5,-0.08,0,,,,,0.014048259391664382,
Chile,HF_norm,71,-0.3237922469097656,0.006250469443029226,-0.52,-0.1,0,,,,,0.011249141116718379,
Chile,DFA_alpha1,71,-0.3136633936394725,0.008190060632595626,-0.51,-0.08,0,,,,,0.011985454584286282,
Chile,DFA_alpha2,71,-0.3170019435375703,0.007499427411145587,-0.51,-0.09,0,,,,,0.011249141116718379,
Spain,SDNN,58,-0.24117757232676318,0.07071681773851654,-0.47,0.02,0,,,,,0.07443875551422795,
Spain,RMSSD,58,-0.2437327946910852,0.06769442525157279,-0.47,0.02,0,,,,,0.07443875551422795,
Spain,pNN50,58,-0.18462485619069757,0.1691754634413095,-0.42,0.08,0,,,,,0.1691754634413095,
Spain,SDANN,0,,,,,0,,,,,,
Spain,SD1,58,-0.2437327946910852,0.06769442525157279,-0.47,0.02,0,,,,,0.07443875551422795,
Spain,SD2,58,-0.2371898943146708,0.07564755643058434,-0.47,0.02,0,,,,,0.07825609285922518,
Spain,SD1SD2,58,-0.24567865259677668,0.0654628394835034,-0.48,0.02,0,,,,,0.07443875551422795,
Spain,VLF_power,58,-0.2625947131684284,0.04844930421675429,-0.49,-0.0,0,,,,,0.06285933950749638,
Spain,LF_power,58,-0.2360016780646226,0.07716837424064486,-0.47,0.03,0,,,,,0.07847631278709648,
Spain,HF_power,58,-0.25059511501157994,0.060086526273912706,-0.48,0.01,0,,,,,0.07357533829458698,
Spain,Total_power,58,-0.26170923771371163,0.04923981594753883,-0.49,-0.0,0,,,,,0.06285933950749638,
Spain,LF_HF,58,-0.24544622272023822,0.06572625592763646,-0.48,0.02,0,,,,,0.07443875551422795,
Spain,LF_norm,58,-0.25947948278367716,0.05127713298654233,-0.49,0.0,0,,,,,0.06409641623317791,
Spain,HF_norm,58,-0.24148426004936402,0.07034847429059944,-0.47,0.02,0,,,,,0.07443875551422795,
Spain,DFA_alpha1,58,-0.2413958324111378,0.070454521816417,-0.47,0.02,0,,,,,0.07443875551422795,
Spain,DFA_alpha2,58,-0.24604552125727938,0.06504878440877752,-0.48,0.02,0,,,,,0.07443875551422795,
Japan,SDNN,37,-0.5627140808473098,0.00035366292121816043,-0.75,-0.29,37,0.5619727651792353,0.00044288134665580975,0.28,0.75,0.0009225989249169403,0.003100169426590668
Japan,RMSSD,37,-0.6543244732719248,1.5004879495976078e-05,-0.81,-0.42,37,0.28125136815551693,0.1016919350790723,-0.06,0.56,9.002927697585648e-05,0.23728118185116873
Japan,pNN50,37,-0.6054325990098045,9.144855938146549e-05,-0.78,-0.35,37,0.47226781071295826,0.00417659452568631,0.16,0.7,0.00036579423752586195,0.01949077445320278
Japan,SDANN,37,-0.643794077143414,2.274521860647592e-05,-0.8,-0.4,37,0.3235560683551762,0.05795706076248117,-0.01,0.59,0.00011372609303237959,0.2028497126686841
Japan,SD1,37,-0.6543244732719248,1.5004879495976078e-05,-0.81,-0.42,37,0.28125136815551693,0.1016919350790723,-0.06,0.56,9.002927697585648e-05,0.23728118185116873
Japan,SD2,37,-0.5161844972061982,0.0012702391302956072,-0.72,-0.23,37,0.6161836144650649,8.117107739449547e-05,0.36,0.79,0.002628080959232291,0.0011363950835229367
Japan,SD1SD2,0,,,,,0,,,,,,
