Dataset,Scale,HC_mean,HC_sem,HC_n,PD_mean,PD_sem,PD_n,MW_p,q_BH
Chile,1,1.6272839434791864,0.05243108266150816,43,1.2809314271665817,0.09093590371117452,28,0.0022645084541825116,0.04529016908365023
Chile,2,1.6161266956179456,0.04492679542719626,43,1.3321811594798951,0.08710948795821799,28,0.009158969136775587,0.09158969136775587
Chile,3,1.6301706300507417,0.040699548457545406,43,1.4072882494728016,0.08821307872097262,28,0.051511530842412265,0.25755765421206134
Chile,4,1.6567956715534367,0.03656201517309187,43,1.468377551888963,0.08668168571217372,28,0.13666170007805534,0.4739222407862856
Chile,5,1.721145580305788,0.03728352425178615,43,1.5119430758753238,0.08257655980240965,28,0.03571605759007172,0.23810705060047818
Chile,6,1.740827087880404,0.03547551140596302,43,1.5906151103155093,0.08584650915099351,28,0.18956889631451423,0.4739222407862856
Chile,7,1.7601055956674443,0.0316524089696499,43,1.6161406152096796,0.08475077413718198,28,0.15973016591925393,0.4739222407862856
Chile,8,1.7971081895740366,0.03598012877543635,43,1.6669770444412666,0.08458808291331357,28,0.38716738438722786,0.7743347687744557
Chile,9,1.7957398100593713,0.035799502517013936,43,1.6955746517140418,0.08641003223957838,28,0.6590631423989384,0.9095898404877152
Chile,10,1.8149610195743267,0.03558676388055125,43,1.694754266530128,0.08382187089348109,28,0.5762557643035069,0.9095898404877152
Chile,11,1.8324024118337556,0.039982388157898355,43,1.732645645594885,0.08866930646242613,28,0.7285290818568582,0.9095898404877152
Chile,12,1.8571953699845454,0.04227187854412474,43,1.6961839186890855,0.08575661355151502,28,0.166833997555068,0.4739222407862856
Chile,13,1.8884649916873089,0.04068375699954682,43,1.7658087312887905,0.09338032061574168,28,0.38716738438722786,0.7743347687744557
Chile,14,1.8688935351411997,0.04269417931143585,43,1.7486634127321052,0.08780423219202516,28,0.6005806810572,0.9095898404877152
Chile,15,1.8647984332334961,0.0461242512201876,43,1.8005088213049596,0.09281048519490927,28,0.6761840476917981,0.9095898404877152
Chile,16,1.9078823965230518,0.04611068359679928,43,1.8435507901705248,0.09435885812391143,28,0.8923710356941391,0.9393379323096201
Chile,17,1.9395304252433325,0.054000376777179136,43,1.8950466744486931,0.11617631390506637,28,0.9577758568429542,0.9577758568429541
Chile,18,1.9176151681936893,0.050990030694950124,43,1.8565148488121657,0.10132435924361605,28,0.7731513644145579,0.9095898404877152
Chile,19,1.873537566907165,0.0442325700378381,43,1.8419926243225808,0.0941380850316226,28,0.7552029489561142,0.9095898404877152
Chile,20,1.91675093941334,0.04455848391539947,43,1.8841775417240245,0.10715067864083945,28,0.8276923779600049,0.9196581977333389
Spain,1,1.3260219348885982,0.08032682660502113,27,1.242426245177781,0.08175863171300904,31,0.6289247787968083,0.6988053097742315
Spain,2,1.4638740148745835,0.08249974942692824,27,1.315376117519644,0.08034691111625349,31,0.1345266380717044,0.3269687963792058
Spain,3,1.5274262669309897,0.07963155513412613,27,1.3399737735639754,0.07335807729448776,31,0.04773405767062806,0.19093623068251225
Spain,4,1.5940206814285336,0.0806345002384327,27,1.4385681138786919,0.06923267205976684,31,0.034004013497073,0.19093623068251225
Spain,5,1.6522652709366512,0.08607581009471564,27,1.5352433933490015,0.07249139855664741,31,0.14713595837064258,0.3269687963792058
Spain,6,1.6941393337292454,0.08404995152166196,27,1.618624657471054,0.06812968870309603,31,0.3035571125267592,0.4670109423488603
Spain,7,1.7900523819809848,0.09501982872788757,27,1.6044105386497198,0.059209094135508,31,0.0268570912705541,0.19093623068251225
Spain,8,1.799145012197042,0.09443532622817763,27,1.637681089477342,0.062305288802268474,31,0.040373432235652665,0.19093623068251225
Spain,9,1.821309053920135,0.09191320777941064,27,1.7417181362449663,0.06444046341567226,31,0.18258094674591963,0.3607525290255532
Spain,10,1.8952882443610202,0.10538804872156164,27,1.7331571273513073,0.0636737424510649,31,0.04271422599842028,0.19093623068251225
Spain,11,1.9103568428225695,0.10439747316097232,27,1.831089247496023,0.07216656365461663,31,0.3999070670320468,0.5126258583556123
Spain,12,2.024015065140475,0.12822113183172232,27,1.8942603693304938,0.07482662096009678,31,0.19841389096405426,0.3607525290255532
Spain,13,1.8502530297056707,0.09296210885488791,27,1.8029894135595432,0.06214094685953992,31,0.4357319796022704,0.5126258583556123
Spain,14,2.0250439318392064,0.14203729157782224,27,1.8189649075137309,0.0701236424001223,31,0.11718865564027206,0.3269687963792058
Spain,15,2.0480826209368876,0.12590037530770967,27,1.8500589070024704,0.062304093706078714,31,0.1100792908328042,0.3269687963792058
Spain,16,1.9986401315150828,0.1079612206758495,27,1.9556298671626242,0.09434995456333316,31,0.7670857888307161,0.8074587250849643
Spain,17,2.128278224823957,0.12802780212059403,26,2.1040249691814603,0.0997606883134682,30,0.856580157487746,0.856580157487746
Spain,18,2.0810888639794807,0.14120000094679036,26,1.9792936513126855,0.10087333877657145,31,0.34854910245047355,0.49792728921496227
Spain,19,2.161165907641933,0.13891472346471345,22,2.0717654818950573,0.10045848295151574,31,0.2992719332328516,0.4670109423488603
Spain,20,2.118456019359968,0.13465716492711569,25,2.0446263695575837,0.1259187333223617,29,0.41984177871855544,0.5126258583556123
Japan-morning,1,0.5193558955301023,0.0551572732538798,18,0.3870821831138066,0.03127518109492864,21,0.04110630826596564,0.04110630826596564
Japan-morning,2,0.6039318320293323,0.06517131538156933,18,0.4283150036468419,0.031947067985312,21,0.021675744607649563,0.027094680759561954
Japan-morning,3,0.678207940553608,0.06745507409171814,18,0.4788308413821677,0.034448587572271955,21,0.013700054034679011,0.026937009643817476
Japan-morning,4,0.7510951421898038,0.06815648525674237,18,0.5283131206013449,0.040698776475591926,21,0.009945441265530201,0.026937009643817476
Japan-morning,5,0.8100388946364311,0.06835636082992573,18,0.5774542467087559,0.04490433725383776,21,0.006556289433618953,0.026937009643817476
Japan-morning,6,0.8515237856950909,0.06832719853873148,18,0.6155381219220384,0.04748647456394579,21,0.006556289433618953,0.026937009643817476
Japan-morning,7,0.8820838463415138,0.06840603527790301,18,0.6465194634323088,0.05010265066509418,21,0.006556289433618953,0.026937009643817476
Japan-morning,8,0.9058521448369287,0.06842629851237342,18,0.6692294501197591,0.051958115665703596,21,0.009945441265530201,0.026937009643817476
Japan-morning,9,0.9260639615258799,0.06880759197876733,18,0.69139374590314,0.05399079261496913,21,0.009945441265530201,0.026937009643817476
Japan-morning,10,0.9418592151296681,0.06877175050646683,18,0.7077332534143871,0.05540647755653401,21,0.009945441265530201,0.026937009643817476
Japan-morning,11,0.958267892004215,0.06983212917018317,18,0.7253577183973876,0.057416068549374345,21,0.0116896582026497,0.026937009643817476
Japan-morning,12,0.9680604582603264,0.06966519622326346,18,0.7397613614081642,0.05865809311404811,21,0.013700054034679011,0.026937009643817476
Japan-morning,13,0.9800002701849567,0.0701690478551112,18,0.7526713728015625,0.05932162688398682,21,0.014815355304099612,0.026937009643817476
Japan-morning,14,0.9874237669431625,0.06993774836137479,18,0.7652886559055215,0.06069969034572583,21,0.018655412405918854,0.027094680759561954
Japan-morning,15,0.995305061370205,0.06984368826590086,18,0.7756756923769371,0.06089258736963092,21,0.018655412405918854,0.027094680759561954
Japan-morning,16,1.0034298462249132,0.07029869559100901,18,0.7872245740616493,0.06240538580643507,21,0.02011615946656497,0.027094680759561954
Japan-morning,17,1.011104427503869,0.06998117343419524,18,0.7966417161478951,0.06306595450395434,21,0.021675744607649563,0.027094680759561954
Japan-morning,18,1.0182574175414105,0.07032892230345154,18,0.8069169322028678,0.06405226299596316,21,0.025113083845991264,0.02790342649554585
Japan-morning,19,1.0264427039717379,0.07083966640330128,18,0.8143717487055316,0.06393769563291324,21,0.025113083845991264,0.02790342649554585
Japan-morning,20,1.0342463620590838,0.07087758903570873,18,0.8237500304964558,0.06510851612532152,21,0.027002133439825965,0.02842329835771154
