HRV,Clinical,rho,p,ci_lo,ci_hi,p_fdr,adjustment
Complexity (rcMSE nAUC/HR),Disease duration (yr),-0.2244277058142527,0.3153315411976346,-0.6310945706334513,0.2743960074311798,0.5217831212964764,crude
Complexity (rcMSE nAUC/HR),Hoehn & Yahr stage,-0.2101636279287028,0.347855414197651,-0.5946734126127694,0.2396076087332907,0.5217831212964764,crude
Complexity (rcMSE nAUC/HR),Schwab & England (%),-0.06659289379831121,0.7684195898571413,-0.485173449880609,0.36478982938750937,0.7684195898571413,crude
Complexity (rcMSE nAUC/HR),CISI-PD motor signs,-0.1447120585677986,0.5205257714508771,-0.5596327245085645,0.3101295017280756,0.5881151576931181,crude
Complexity (rcMSE nAUC/HR),CISI-PD disability,-0.2869919385775691,0.19532650546079233,-0.6576827455658668,0.1715536397006055,0.44955743161992623,crude
Complexity (rcMSE nAUC/HR),CISI-PD motor comp.,-0.365539982231803,0.0943419733048784,-0.7235941406313866,0.04831074833726957,0.44955743161992623,crude
Complexity (rcMSE nAUC/HR),CISI-PD cognitive,-0.143942699067689,0.5227690290605493,-0.5556224961694547,0.3163384378035891,0.5881151576931181,crude
Complexity (rcMSE nAUC/HR),CISI-PD total,-0.2842593499616499,0.19980330294218943,-0.6774178945732627,0.1643303127532706,0.44955743161992623,crude
Complexity (rcMSE nAUC/HR),Non-motor burden,-0.3147693254095784,0.16460326244992582,-0.6860452252698428,0.17667179601263458,0.44955743161992623,crude
RMSSD,Disease duration (yr),-0.08161007484154643,0.718066275829755,-0.5019188542703198,0.34002858905903055,0.9228879087694062,crude
RMSSD,Hoehn & Yahr stage,-0.06706075876927269,0.7668359564385478,-0.5076586568006828,0.43159626196810547,0.9228879087694062,crude
RMSSD,Schwab & England (%),-0.23677473350510655,0.2887239690180027,-0.6267751003972625,0.18580069751190217,0.866171907054008,crude
RMSSD,CISI-PD motor signs,0.004101151457387005,0.9855485132731403,-0.49945840980803297,0.4681956296242126,0.9855485132731404,crude
RMSSD,CISI-PD disability,0.137105460535033,0.5429036005600222,-0.3093230259087756,0.5698974496954092,0.9228879087694062,crude
RMSSD,CISI-PD motor comp.,0.05138581219871991,0.8203448077950277,-0.36084450613097285,0.5163676766220201,0.9228879087694062,crude
RMSSD,CISI-PD cognitive,0.42588005178704674,0.048130105806561935,-0.06563700873436104,0.7990225534723421,0.43317095225905744,crude
RMSSD,CISI-PD total,0.17497238872141396,0.43608298899889664,-0.2783352801192937,0.6293684618341057,0.9228879087694062,crude
RMSSD,Non-motor burden,0.24329045776448663,0.28791794049602526,-0.2840194309804426,0.6804931059011673,0.866171907054008,crude
DFA α₁,Disease duration (yr),-0.25786516703405293,0.24661107118003323,-0.6563942075260768,0.16619063296351158,0.7797016011448786,crude
DFA α₁,Hoehn & Yahr stage,-0.2329163853682775,0.2968838802053774,-0.6673995218367108,0.2161567955117378,0.7797016011448786,crude
DFA α₁,Schwab & England (%),0.026750991525817325,0.9059331168378031,-0.4515203127562755,0.4889773119996273,0.9059331168378031,crude
DFA α₁,CISI-PD motor signs,-0.21384575456375093,0.33927758079573556,-0.7209804576214154,0.28463410434468706,0.7797016011448786,crude
DFA α₁,CISI-PD disability,-0.11154342552002687,0.621170138260497,-0.6535892654805591,0.36606901360312133,0.7986473206206391,crude
DFA α₁,CISI-PD motor comp.,-0.17751462395921422,0.4293391356221469,-0.6528395188275021,0.29646409303588045,0.7797016011448786,crude
DFA α₁,CISI-PD cognitive,0.03925709974573336,0.8622975297076872,-0.47424433938719424,0.5288890923820111,0.9059331168378031,crude
DFA α₁,CISI-PD total,-0.1449609434067378,0.5198010674299192,-0.6425373089100678,0.37787847548411396,0.7797016011448786,crude
DFA α₁,Non-motor burden,0.16131927927240894,0.4848098575386488,-0.3366739508209054,0.6008270664859482,0.7797016011448786,crude
Complexity (rcMSE nAUC/HR),Disease duration (yr),-0.03634658930070347,0.8724227789033947,-0.5236831663853639,0.4376994056037828,0.981475626266319,age_adjusted
Complexity (rcMSE nAUC/HR),Hoehn & Yahr stage,-0.08175218502418166,0.7175947682590855,-0.5533977503854094,0.3556136634795467,0.9226218449045386,age_adjusted
