Dataset,Scale,Metric,n,rho,p,q_BH,sig
Chile,1,RMSSD,71,-0.7726022803487592,2.9864628295927848e-15,1.4932314147963924e-13,***
Chile,1,SDNN,71,-0.7847082494969818,5.636497846857147e-16,5.636497846857147e-14,***
Chile,1,pNN50,71,-0.0270623742454728,0.8227378035649744,0.8853614164972264,
Chile,1,SD1,71,-0.7726022803487592,2.9864628295927848e-15,1.4932314147963924e-13,***
Chile,1,SD2,71,-0.7740442655935612,2.461801175022007e-15,1.4932314147963924e-13,***
Chile,1,SD1SD2,71,-0.3818578135479544,0.0010163913566984,0.0068591127510569,**
Chile,1,VLF_power,71,-0.1166331321260898,0.3327272692062173,0.5109920837922366,
Chile,1,LF_power,71,-0.1521797451374915,0.2051830087759168,0.3787541204276753,
Chile,1,HF_power,71,-0.1750838363514419,0.1441792727032776,0.3089555843641663,
Chile,1,Total_power,71,-0.1526492287055667,0.2037722540126922,0.3787541204276753,
Chile,1,LF_HF,71,-0.1658283031522468,0.1669464737698761,0.3316817359666412,
Chile,1,LF_norm,71,-0.1261569416498993,0.2944800241735371,0.4801304741959845,
Chile,1,HF_norm,71,-0.0696177062374245,0.564008658375858,0.7109352836670478,
Chile,1,DFA_alpha1,71,0.1470489604292421,0.2210546622467272,0.3971041836767555,
Chile,1,DFA_alpha2,71,0.4856807511737088,1.76019977993442e-05,0.0002112239735921,***
Chile,1,SDANN,0,,,,
Chile,2,RMSSD,71,-0.7677062374245472,5.695419590588913e-15,2.1357823464708426e-13,***
Chile,2,SDNN,71,-0.7856807511737088,4.907078443315705e-16,5.636497846857147e-14,***
Chile,2,pNN50,71,0.0069751844399731,0.9539625855039254,0.9635985712160864,
Chile,2,SD1,71,-0.7677062374245472,5.695419590588913e-15,2.1357823464708426e-13,***
Chile,2,SD2,71,-0.7858148893360162,4.813899118373813e-16,5.636497846857147e-14,***
Chile,2,SD1SD2,71,-0.2592890677397719,0.0289975668607027,0.1035627387882241,
Chile,2,VLF_power,71,-0.1733400402414486,0.1482803347325616,0.3132683128152711,
Chile,2,LF_power,71,-0.1679409792085848,0.1615303759162586,0.3257422269399712,
Chile,2,HF_power,71,-0.1419181757209926,0.2377677895604635,0.4171364729130938,
Chile,2,Total_power,71,-0.1412810194500335,0.239902612517442,0.4184347892746081,
Chile,2,LF_HF,71,-0.2468812877263581,0.0379327447518945,0.1264424825063151,
Chile,2,LF_norm,71,-0.1707243460764587,0.1545944385195005,0.319850562454139,
Chile,2,HF_norm,71,-0.003085177733065,0.9796283990218002,0.9820637053293998,
Chile,2,DFA_alpha1,71,0.0618041582830315,0.6086388835768968,0.7351580386709027,
Chile,2,DFA_alpha2,71,0.4150234741784037,0.0003197681348996,0.0023891924549742,**
Chile,2,SDANN,0,,,,
Chile,3,RMSSD,71,-0.713346747149564,2.940317211725278e-12,7.350793029313196e-11,***
Chile,3,SDNN,71,-0.734507042253521,3.099359054692681e-13,9.298077164078042e-12,***
Chile,3,pNN50,71,0.049664654594232,0.6808468850872117,0.7825826265370249,
Chile,3,SD1,71,-0.713346747149564,2.940317211725278e-12,7.350793029313196e-11,***
Chile,3,SD2,71,-0.736787391012743,2.40120623170294e-13,8.004020772343132e-12,***
Chile,3,SD1SD2,71,-0.1969483568075117,0.0997169908120903,0.2386850048132099,
