Dataset,Subset,Metric,n,rho,p,q_BH,sig,CI_lo,CI_hi
Chile,All,SDNN,71,-0.3254191817572099,0.005620016326016299,0.0169383441980203,*,-0.5262521635828443,-0.09080977882666429
Chile,All,RMSSD,71,-0.3298792756539235,0.004963758751057832,0.0169383441980203,*,-0.534498263510226,-0.10323211222187344
Chile,All,pNN50,71,0.4034205231388329,0.0004858214328446702,0.0072873214926700534,**,0.20270051311364864,0.579564129344482
Chile,All,SDANN,0,,,,,,
Chile,All,SD1,71,-0.3298792756539235,0.004963758751057832,0.0169383441980203,*,-0.5299858816411963,-0.10380489755635867
Chile,All,SD2,71,-0.3252515090543259,0.005646114732673433,0.0169383441980203,*,-0.5227294248976273,-0.09789039952568428
Chile,All,SD1SD2,71,-0.20516431924882628,0.08609432196581958,0.18448783278389908,,-0.399020913710508,0.014887489256373761
Chile,All,VLF_power,71,0.008819584171696848,0.9418081539616983,0.9418081539616983,,-0.23261049063826594,0.2703224545178775
Chile,All,LF_power,71,0.10342052313883299,0.3907414503257005,0.5721883116243972,,-0.1612152738244558,0.33827101512354646
Chile,All,HF_power,71,0.04191817572099262,0.7285222093464082,0.8406025492458556,,-0.19635037015078644,0.2797836506354468
Chile,All,Total_power,71,0.09175050301810864,0.4466641893717316,0.5721883116243972,,-0.14028640075418727,0.33567199376082524
Chile,All,LF_HF,71,-0.08953722334004023,0.4577506492995178,0.5721883116243972,,-0.33314423562923795,0.16723872409970858
Chile,All,LF_norm,71,0.14976525821596243,0.21254803528201022,0.39852756615376916,,-0.09923681998469043,0.39437445086574835
Chile,All,HF_norm,71,0.02655935613682092,0.8259805474306415,0.8849791579614017,,-0.21260977139472148,0.29169510646498914
Chile,All,DFA_alpha1,71,0.11958417169684774,0.32055462812303515,0.5342577135383919,,-0.11213779710610017,0.35181231694681886
Chile,All,DFA_alpha2,71,0.23967136150234739,0.04410360655437657,0.11025901638594142,,0.0179993616271438,0.44664587165944536
Chile,PD,SDNN,28,-0.5336617405582923,0.003448488379963128,0.010345465139889383,*,-0.7686542335189827,-0.2104247846034026
Chile,PD,RMSSD,28,-0.5407772304324029,0.0029665040695384995,0.010345465139889383,*,-0.7636785919616808,-0.22474386914297248
Chile,PD,pNN50,28,0.29939792008757526,0.12167404495590294,0.26380601227395073,,-0.02119086006820376,0.5820747817588373
Chile,PD,SDANN,0,,,,,,
Chile,PD,SD1,28,-0.5407772304324029,0.0029665040695384995,0.010345465139889383,*,-0.7546642933608335,-0.22235006822184974
Chile,PD,SD2,28,-0.5385878489326764,0.0031082336544508435,0.010345465139889383,*,-0.7792453018316796,-0.18463308255915117
Chile,PD,SD1SD2,28,-0.2983032293377121,0.12310947239451034,0.26380601227395073,,-0.5454439889625676,0.03168427583201963
