Center,Metric,HC_n,PD_n,HC_mean,HC_sd,PD_mean,PD_sd,MW_p,BH_q,sig
Chile,SDNN,43,28,115.18095201037544,133.1990288500745,205.64452671549415,273.262545500003,0.042402075524161635,0.12013921398512463,ns
Chile,RMSSD,43,28,145.88388574147433,162.35002055899636,282.38615525854345,377.8476550936399,0.023521110902158426,0.0999647213341733,ns
Chile,pNN50,43,28,26.277863311567206,12.41479844332978,27.499569967327297,11.260132124719963,0.5524059283261831,0.6037677708937773,ns
Chile,SDANN,0,0,,,,,,,—
Chile,TINN,43,28,125.54505813953489,126.08111518068388,83.14732142857143,122.31665372009546,0.17525322882441707,0.35063244641569136,ns
Chile,SD1,43,28,103.20625246937155,114.85739941483526,199.77470540013323,267.30928877836993,0.023521110902158426,0.0999647213341733,ns
Chile,SD2,43,28,124.1617192951227,150.70136448763634,209.8918684420089,280.2581745783084,0.051511530842412265,0.12509943204585836,ns
Chile,SD1SD2,43,28,0.8350985793116018,0.15979078015779655,0.9435247920706837,0.16108825442303018,0.006930053855600394,0.058905457772603344,ns
Chile,VLF_power,43,28,0.012667917751411729,0.007590143761573546,0.011310635823620005,0.00614904583102817,0.5213792068240848,0.6037677708937773,ns
Chile,LF_power,43,28,0.02163779977132485,0.01793336869602883,0.022906463170516207,0.012204230090891282,0.3088122322861536,0.42616713988566524,ns
Chile,HF_power,43,28,0.02024157300265452,0.016102030616081665,0.024137788963622165,0.01478001663022661,0.24649542706449667,0.4114096426503073,ns
Chile,Total_power,43,28,0.05730473523212816,0.03536333495095185,0.06151534434995297,0.02980930931710493,0.5682520196647316,0.6037677708937773,ns
Chile,LF_HF,43,28,2.5595451925463863,8.398375404100586,6.4263342506294014,22.559911084632983,0.83687167953433,0.83687167953433,ns
Chile,LF_norm,43,28,0.33783256220266933,0.10967849996993323,0.35012272425076923,0.13356039769282804,0.2662062393619635,0.4114096426503073,ns
Chile,HF_norm,43,28,0.3378860643188219,0.13904299711187657,0.35813039900513355,0.1383017983340922,0.3258925187360969,0.42616713988566524,ns
Chile,DFA_alpha1,43,28,0.6822997585629029,0.11407875185951412,0.6352956291182198,0.1726713831683022,0.18562894222007187,0.35063244641569136,ns
Chile,DFA_alpha2,43,28,0.6960412297086079,0.16637288359416103,0.6103520108292976,0.11279281078112585,0.042402075524161635,0.12013921398512463,ns
Chile,SampEn,43,28,1.6272839434791864,0.3438136013154362,1.2809314271665817,0.48118757293336667,0.0022645084541825116,0.038496643721102695,*
Spain,SDNN,27,31,43.98755053943282,18.90777076097738,38.37623147794662,22.58995393899524,0.11538815186745731,0.24519982271834678,ns
Spain,RMSSD,27,31,44.84791492723298,30.924983693738714,35.06672003085633,30.92490173052165,0.1083604002467478,0.24519982271834678,ns
Spain,pNN50,27,31,11.091438600972888,16.297348563610175,6.003037874828545,10.651412228423363,0.07546531478860712,0.24519982271834678,ns
Spain,SDANN,0,0,,,,,,,—
Spain,TINN,27,31,140.0462962962963,140.97389154994536,140.37298387096774,146.92878933832105,0.8179008645004768,0.8690196685317566,ns
Spain,SD1,27,31,31.7453781759058,21.889938150373723,24.82142020926595,21.894520042273076,0.1083604002467478,0.24519982271834678,ns
Spain,SD2,27,31,52.16260332078736,19.61186155100205,46.7930975476135,26.22959925251502,0.11183073195551368,0.24519982271834678,ns
Spain,SD1SD2,27,31,0.5850805866017948,0.2615739143471993,0.5331044972004853,0.2949466312491336,0.2821059819861421,0.47958016937644155,ns
Spain,VLF_power,27,31,0.009797371024336032,0.004441963176106041,0.007667747700248164,0.0056029555078454,0.051349002155832685,0.24519982271834678,ns
Spain,LF_power,27,31,0.015036018817520449,0.012499970370112811,0.01051372473706098,0.012026228684155248,0.061399227680786365,0.24519982271834678,ns
Spain,HF_power,27,31,0.023156145761307066,0.03155017216363998,0.01240782876343991,0.016830687334184618,0.13863344081497783,0.261863165983847,ns
Spain,Total_power,27,31,0.05248075242290298,0.050765738627270636,0.034043032048970044,0.036572033920457665,0.07555523958573764,0.24519982271834678,ns
Spain,LF_HF,27,31,1.7544712388925836,1.670867773675045,1.9171162060871918,1.8550463038589917,0.543221905967957,0.7376613666489994,ns
Spain,LF_norm,27,31,0.3292787053758949,0.11631944699918303,0.3365171509282662,0.11283025363659994,0.7910071417566066,0.8690196685317566,ns
Spain,HF_norm,27,31,0.31371969098982244,0.17516184810367316,0.28355757603922027,0.15227189724599915,0.5640939862609995,0.7376613666489994,ns
Spain,DFA_alpha1,27,31,0.9128386960175865,0.27325168861947585,0.9772539826801754,0.3447636602799011,0.39991431544139633,0.6180493965912489,ns
Spain,DFA_alpha2,27,31,0.8730205225086379,0.2021951184048617,0.8903586986824493,0.2064854632789268,0.8761243591282755,0.8761243591282755,ns
Spain,SampEn,27,31,1.3260219348885982,0.41739043467201614,1.242426245177781,0.45521279600543607,0.6289247787968083,0.7636943742532672,ns
Japan,SDNN,20,23,83.90082518747468,37.59205556550041,54.08072575701152,21.77162937198633,0.0019058301427155775,0.010164427427816413,*
Japan,RMSSD,20,23,71.79923015163443,67.58799116808605,44.374022396780816,31.870600252846266,0.06600827892676522,0.13201655785353045,ns
Japan,pNN50,20,23,7.673349398870952,7.770983124353525,3.39258199474948,4.701435339098587,0.007132563000157355,0.022824201600503535,*
Japan,SDANN,20,23,34.5482305987829,11.555466943050332,27.218156940498176,11.2339614909507,0.03518619659246479,0.0938298575799061,ns
Japan,TINN,20,23,104.5800581927324,64.41408077947509,37.75418170798605,24.709196728487356,0.00029919232375175733,0.0034724105734148295,**
Japan,SD1,20,23,50.78803159966284,47.8024502187346,31.390868565502302,22.55037698882479,0.06600827892676522,0.13201655785353045,ns
Japan,SD2,20,23,103.43761737016253,33.9674265991471,67.53654962713888,25.069139787588114,0.0004340513216768537,0.0034724105734148295,**
Japan,SD1SD2,0,0,,,,,,,—
Japan,VLF_power,20,23,0.005139132978218336,0.0021803686747745915,0.004544744179075483,0.0020822075615309957,0.3007424240023291,0.5346531982263628,ns
Japan,LF_power,20,23,0.004479505069674196,0.003991640467355389,0.004593692705828622,0.004461479710617258,0.9320846368977735,0.990286299558297,ns
Japan,HF_power,20,23,0.007499879544391535,0.012739971538857118,0.006557460979968075,0.00777277206803646,0.8742440113109863,0.990286299558297,ns
Japan,Total_power,20,23,0.018209220339784397,0.01943891601362524,0.01710178348890069,0.0150326250504988,0.8550967534607166,0.990286299558297,ns
Japan,LF_HF,20,23,1.9215229338700823,1.4492123711210312,2.030550316417904,2.0122941784337622,0.7240405011700659,0.990286299558297,ns
Japan,LF_norm,20,23,0.23272120962510315,0.052672186722353694,0.22106060169748334,0.06425005973049668,0.48771151255268475,0.7803384200842955,ns
Japan,HF_norm,20,23,0.2501242272687828,0.14119513325849875,0.2513077311679686,0.1311088563776918,0.990286299558297,0.990286299558297,ns
Japan,DFA_alpha1,20,23,1.0311854286123878,0.14365795326705508,1.02413988744124,0.16328593675650985,0.9320846368977735,0.990286299558297,ns
Japan,DFA_alpha2,0,0,,,,,,,—
Japan,SampEn,16,21,0.5925630414499312,0.2129268619194891,0.42105838476539054,0.11909045548683835,0.006664862485155913,0.022824201600503535,*
